[19:32:27] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1806, y=94, z=332} jb{x=-1806, y=94, z=333}
[19:32:27] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1806, y=94, z=332} jb{x=-1806, y=94, z=333}
[19:32:27] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1806, y=94, z=332} jb{x=-1806, y=94, z=333}
[19:32:27] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1806, y=94, z=332} jb{x=-1806, y=94, z=333}
[19:32:27] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1806, y=94, z=332} jb{x=-1806, y=94, z=333}
[19:32:27] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1806, y=94, z=332} jb{x=-1806, y=94, z=333}
[19:32:27] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1806, y=94, z=332} jb{x=-1806, y=94, z=333}
[19:32:34] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1796, y=91, z=340} jb{x=-1797, y=90, z=340}
[19:32:34] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1798, y=91, z=339} jb{x=-1797, y=90, z=340}
[19:32:54] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1792, y=90, z=352} jb{x=-1792, y=86, z=353}
[19:33:04] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1862, y=110, z=348} jb{x=-1862, y=108, z=349}
[19:33:04] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1862, y=110, z=348} jb{x=-1862, y=108, z=349}
[19:33:16] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1805, y=93, z=359} jb{x=-1806, y=94, z=359}
[19:33:43] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1794, y=87, z=341} jb{x=-1794, y=88, z=340}
[19:33:43] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1794, y=87, z=341} jb{x=-1794, y=88, z=340}
[19:33:43] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1794, y=87, z=341} jb{x=-1794, y=88, z=340}
[19:33:43] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1794, y=87, z=341} jb{x=-1794, y=88, z=340}
[19:33:43] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1794, y=87, z=341} jb{x=-1794, y=88, z=340}
[19:34:57] [Server thread/INFO]: edinson123pro was shot by VICTOR
[19:36:38] [Server thread/WARN]: DarkJunior moved too quickly! -18.058514105278164,-2.9839425652250355,1.2836135902517185
[19:37:09] [Server thread/WARN]: DarkJunior moved too quickly! 7.2559675494221665,0.8046422359329419,15.820570712111362
[19:37:10] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2012ms or 40 ticks behind
